HP:0100300	Desmin bodies	MP:0003084	abnormal skeletal muscle fiber morphology	0.8205128205	1
HP:0100301	Muscle fiber tubular inclusions	MP:0003084	abnormal skeletal muscle fiber morphology	0.8205128205	1
HP:0100304	Muscle fiber intranuclear inclusion bodies	MP:0003084	abnormal skeletal muscle fiber morphology	0.8421052632	1
HP:0100305	Ring fibers	MP:0003084	abnormal skeletal muscle fiber morphology	0.9696969697	1
HP:0100302	Muscle fiber tubuloreticular inclusions	MP:0003084	abnormal skeletal muscle fiber morphology	0.8205128205	1
HP:0100303	Muscle fiber cytoplasmatic inclusion bodies	MP:0003084	abnormal skeletal muscle fiber morphology	0.8421052632	1
HP:0100308	Cerebral cortical hemiatrophy	MP:0006254	thin cerebral cortex	0.7674418605	0.9705882353
HP:0100309	Subdural hemorrhage	MP:0001915	intracranial hemorrhage	0.9836065574	1
HP:0100306	Muscle fiber hyaline bodies	MP:0003084	abnormal skeletal muscle fiber morphology	0.8205128205	1
HP:0100307	Cerebellar hemisphere hypoplasia	MP:0000851	cerebellum hypoplasia	0.9642857143	1
HP:0100333	Unilateral cleft lip	MP:0005170	cleft upper lip	0.9545454545	1
HP:0100334	Unilateral cleft palate	MP:0000111	cleft palate	0.9574468085	1
HP:0100337	Bilateral cleft palate	MP:0000111	cleft palate	0.9574468085	1
HP:0100338	Non-midline cleft palate	MP:0000111	cleft palate	0.9782608696	1
HP:0100335	Non-midline cleft lip	MP:0005170	cleft upper lip	0.976744186	1
HP:0100336	Bilateral cleft lip	MP:0005170	cleft upper lip	0.9545454545	1
HP:0100339	Abnormality of the os naviculare pedis	MP:0009727	abnormal navicular morphology	0.8191489362	0.8191489362
HP:0100340	Fibular deviation of the 4th toe	MP:0009049	abnormal hallux morphology	0.7840909091	0.8961038961
HP:0100341	Tibial deviation of the 4th toe	MP:0009049	abnormal hallux morphology	0.7931034483	0.8961038961
HP:0100344	Fibular deviation of the 2nd toe	MP:0009049	abnormal hallux morphology	0.7840909091	0.8961038961
HP:0100345	Tibial deviation of the 2nd toe	MP:0009049	abnormal hallux morphology	0.7931034483	0.8961038961
HP:0100342	Fibular deviation of the 3rd toe	MP:0009049	abnormal hallux morphology	0.7840909091	0.8961038961
HP:0100343	Tibial deviation of the 3rd toe	MP:0009049	abnormal hallux morphology	0.7931034483	0.8961038961
HP:0100348	Contracture of the proximal interphalangeal joint of the 2nd toe	MP:0003807	camptodactyly	0.6694214876	1
HP:0100349	Contracture of the proximal interphalangeal joint of the 3rd toe	MP:0003807	camptodactyly	0.6694214876	1
HP:0100346	Fibular deviation of the 5th toe	MP:0009049	abnormal hallux morphology	0.8255813953	0.9220779221
HP:0100347	Tibial deviation of the 5th toe	MP:0009049	abnormal hallux morphology	0.8352941176	0.9220779221
HP:0100311	Cerebral ventricular adhesions	MP:0000822	abnormal brain ventricle morphology	0.8636363636	0.9047619048
HP:0100310	Epidural hemorrhage	MP:0001915	intracranial hemorrhage	0.9836065574	1
HP:0100315	Lewy bodies	MP:0014065	Lewy bodies	1	1
HP:0100316	Hirano bodies	MP:0014067	Hirano bodies	1	1
HP:0100313	Cerebral granulomatosis	MP:0002446	abnormal macrophage morphology	0.746031746	1
HP:0100314	Cerebral inclusion bodies	MP:0014067	Hirano bodies	0.9047619048	0.9047619048
HP:0100319	Cerebral hyaline bodies	MP:0014067	Hirano bodies	0.8636363636	0.9047619048
HP:0100317	Argyrophilic inclusion bodies	MP:0014064	argyrophilic inclusion bodies	1	1
